195.75	15.63	102.112	71.979	9.554	3.538	2.169	0.241	2.34	-1.68	
195.875	15.611	102.009	73.721	6.402	3.545	2.013	0.234	2.353	-1.859	
196.0	15.627	102.841	71.912	9.563	3.554	1.665	0.24	2.354	-1.828	
196.125	15.655	103.196	71.179	8.622	3.561	1.822	0.245	2.357	-2.114	
196.25	15.678	102.959	70.275	8.172	3.682	2.417	0.25	2.367	-2.307	
196.375	15.688	101.301	69.511	10.782	3.936	3.909	0.252	2.389	-2.439	
196.5	15.688	96.7	71.693	13.705	4.203	5.279	0.245	2.427	-3.145	
196.625	15.688	95.264	71.847	10.04	4.148	7.132	0.253	2.444	-2.838	
196.75	15.688	96.757	74.51	9.884	4.129	2.711	0.255	2.434	-2.698	
196.875	15.703	98.482	74.467	10.719	4.039	1.711	0.253	2.409	-2.84	
197.0	15.724	101.272	73.121	9.672	3.862	1.604	0.254	2.378	-2.702	
197.125	15.726	105.484	72.69	6.523	3.671	1.559	0.261	2.349	-2.05	
197.25	15.675	105.381	69.153	9.86	3.712	1.581	0.263	2.333	-2.563	
197.375	15.636	104.99	73.848	10.894	3.63	1.727	0.264	2.322	-2.522	
197.5	15.643	105.244	77.084	8.818	3.528	1.595	0.258	2.32	-2.445	
197.625	15.627	105.757	81.521	7.973	3.476	1.481	0.251	2.322	-2.265	
197.75	15.617	105.577	86.875	8.716	3.506	1.596	0.25	2.328	-2.265	
197.875	15.724	103.501	89.544	7.459	3.608	1.78	0.26	2.346	-2.979	
198.0	15.814	99.502	92.261	6.431	3.687	3.156	0.257	2.377	-3.645	
198.125	15.925	96.368	92.471	9.907	3.816	4.943	0.267	2.414	-3.707	
198.25	16.041	94.866	90.776	9.711	3.916	4.994	0.277	2.435	-4.359	
198.375	16.14	95.164	89.25	8.829	4.056	3.309	0.28	2.441	-5.498	
198.5	16.229	96.823	88.698	10.915	4.236	2.332	0.277	2.437	-6.538	
198.625	16.37	98.566	85.725	12.91	4.185	2.801	0.268	2.421	-6.743	
198.75	16.449	99.219	82.554	9.262	4.363	3.531	0.27	2.431	-7.493	
198.875	16.469	98.839	81.367	8.13	4.587	4.304	0.281	2.448	-8.453	
